Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Lead Generation Executive,Thinksprout Infotech,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Have at least 6 months of B2B outbound calling experience in Domestic or Internationa...,"Cold calling, Online research, Outbound, B2B, Sales, Networking, Lead Generation Executive, Market research",https://www.naukri.com/job-listings-lead-generation-executive-thinksprout-infotech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-090424500933
Ward Nurse,Fortis,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Pursue professional certifications and licensure renewal as required,"health care services, administration, gnm, nursing, infection control, medication administration, medicine, hospital administration",https://www.naukri.com/job-listings-ward-nurse-fortis-healthcare-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-090424500879
Executive-Food & Beverage,Marriott,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift","Supervisor, Printing, Hospitality, Safety training, Inspection, Scheduling, Management, Cost",https://www.naukri.com/job-listings-executive-food-beverage-marriott-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-080424501551
Data Entry Operator,Avery Dennison,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Qualifications . Graduation . 0-6 months experience  Transcribes source data into the r...,"Office equipment, Troubleshooting, Data Entry Operator, Data entry, Office, Data, Data entry operation, Equipment",https://www.naukri.com/job-listings-data-entry-operator-avery-dennison-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-080424500270
Associate - Managed Services Trademarks,Unitedlex,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Requirements: . Graduate in any stream . Minimum of 2-3 years of experience in US copyr...,"Analytical skills, Managed services, Document review, Compliance, Management systems, Litigation, Intellectual property, Cost reduction",https://www.naukri.com/job-listings-associate-managed-services-trademarks-unitedlex-corporation-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-3-years-090424501930
Verification Engineer,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Integration, Verification Testing (IVT) comprises the integration of SW and / or HW...","Product quality, Electrical engineering, WDM, Automation testing, Networking, Consulting, Regression testing, Operations",https://www.naukri.com/job-listings-verification-engineer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-090424501854
Senior Verification Engineer,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Electronics, Computer Science, Computer Engineering, or a software...","Unix, WDM, Test strategy, Debugging, Consulting, Regression testing, Troubleshooting, JIRA",https://www.naukri.com/job-listings-senior-verification-engineer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-7-years-090424501852
Business Analyst,Mclaren Strategic Ventures India,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Utilize good SQL skills to perform data analysis, validate business rules, and support ...","Data analysis, Manager Quality Assurance, Bfsi, Trade finance, Trade finance operations, Process improvement, System integration, business rules",https://www.naukri.com/job-listings-business-analyst-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-12-to-14-years-080424502637
Senior Software Engineer HTHD,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",We are seeking a talented Java Developer to work on an exciting project that involves...,"NoSQL, GCP, Analytical, Integration testing, Agile, Unit testing, software quality, SQL",https://www.naukri.com/job-listings-senior-software-engineer-hthd-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-7-to-12-years-080424502621
Product Manager,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Help GDIA and other partners understand our iterative development approach and focus on...,"Product management, Analytical skills, Business Analyst, Agile, Data quality, Agile methodology, JIRA, Analytics",https://www.naukri.com/job-listings-product-manager-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-080424502619
